orig_gh,dest_gh,required_capacity,cost,vehicles
a,d,200,250.0,100.0:2
a,d,300,300.0,100.0:3
a,d,400,350.0,100.0:4
a,d,500,400.0,100.0:5
a,d,600,450.0,100.0:6
a,d,700,500.0,100.0:7
a,d,800,550.0,100.0:8
a,d,900,600.0,100.0:9
a,d,1000,650.0,100.0:10
a,d,1100,700.0,100.0:11
a,d,1200,750.0,100.0:12
a,d,1300,800.0,100.0:13
a,d,1400,850.0,100.0:14
a,d,1500,900.0,100.0:15
a,d,1600,950.0,100.0:16
a,d,1700,1000.0,100.0:17
a,d,1800,1050.0,100.0:18
a,d,1900,1100.0,100.0:19
a,d,2000,1150.0,100.0:20
d,a,100,200.0,100.0:1
d,a,200,250.0,100.0:2
d,a,300,300.0,100.0:3
d,a,400,350.0,100.0:4
d,a,500,400.0,100.0:5
d,a,600,450.0,100.0:6
d,a,700,500.0,100.0:7
d,a,800,550.0,100.0:8
d,a,900,600.0,100.0:9
d,a,1000,650.0,100.0:10
d,a,1100,700.0,100.0:11
d,a,1200,750.0,100.0:12
d,a,1300,800.0,100.0:13
d,a,1400,850.0,100.0:14
d,a,1500,900.0,100.0:15
d,a,1600,950.0,100.0:16
d,a,1700,1000.0,100.0:17
d,a,1800,1050.0,100.0:18
d,a,1900,1100.0,100.0:19
d,a,2000,1150.0,100.0:20
a,e,100,300.0,100.0:1
a,e,200,375.0,100.0:2
a,e,300,450.0,100.0:3
a,e,400,525.0,100.0:4
a,e,500,600.0,100.0:5
a,e,600,675.0,100.0:6
a,e,700,750.0,100.0:7
a,e,800,825.0,100.0:8
a,e,900,900.0,100.0:9
a,e,1000,975.0,100.0:10
a,e,1100,1050.0,100.0:11
a,e,1200,1125.0,100.0:12
a,e,1300,1200.0,100.0:13
a,e,1400,1275.0,100.0:14
a,e,1500,1350.0,100.0:15
a,e,1600,1425.0,100.0:16
a,e,1700,1500.0,100.0:17
a,e,1800,1575.0,100.0:18
a,e,1900,1650.0,100.0:19
a,e,2000,1725.0,100.0:20
e,a,100,300.0,100.0:1
e,a,200,375.0,100.0:2
e,a,300,450.0,100.0:3
e,a,400,525.0,100.0:4
e,a,500,600.0,100.0:5
e,a,600,675.0,100.0:6
e,a,700,750.0,100.0:7
e,a,800,825.0,100.0:8
e,a,900,900.0,100.0:9
e,a,1000,975.0,100.0:10
e,a,1100,1050.0,100.0:11
e,a,1200,1125.0,100.0:12
e,a,1300,1200.0,100.0:13
e,a,1400,1275.0,100.0:14
e,a,1500,1350.0,100.0:15
e,a,1600,1425.0,100.0:16
e,a,1700,1500.0,100.0:17
e,a,1800,1575.0,100.0:18
e,a,1900,1650.0,100.0:19
e,a,2000,1725.0,100.0:20
b,c,100,200.0,100.0:1
b,c,200,250.0,100.0:2
b,c,300,300.0,100.0:3
b,c,400,350.0,100.0:4
b,c,500,400.0,100.0:5
b,c,600,450.0,100.0:6
b,c,700,500.0,100.0:7
b,c,800,550.0,100.0:8
b,c,900,600.0,100.0:9
b,c,1000,650.0,100.0:10
b,c,1100,700.0,100.0:11
b,c,1200,750.0,100.0:12
b,c,1300,800.0,100.0:13
b,c,1400,850.0,100.0:14
b,c,1500,900.0,100.0:15
b,c,1600,950.0,100.0:16
b,c,1700,1000.0,100.0:17
b,c,1800,1050.0,100.0:18
b,c,1900,1100.0,100.0:19
b,c,2000,1150.0,100.0:20
c,b,100,200.0,100.0:1
c,b,200,250.0,100.0:2
c,b,300,300.0,100.0:3
c,b,400,350.0,100.0:4
c,b,500,400.0,100.0:5
c,b,600,450.0,100.0:6
c,b,700,500.0,100.0:7
c,b,800,550.0,100.0:8
c,b,900,600.0,100.0:9
c,b,1000,650.0,100.0:10
c,b,1100,700.0,100.0:11
c,b,1200,750.0,100.0:12
c,b,1300,800.0,100.0:13
c,b,1400,850.0,100.0:14
c,b,1500,900.0,100.0:15
c,b,1600,950.0,100.0:16
c,b,1700,1000.0,100.0:17
c,b,1800,1050.0,100.0:18
c,b,1900,1100.0,100.0:19
c,b,2000,1150.0,100.0:20
b,d,100,100.0,100.0:1
b,d,200,125.0,100.0:2
b,d,300,150.0,100.0:3
b,d,400,175.0,100.0:4
b,d,500,200.0,100.0:5
b,d,600,225.0,100.0:6
b,d,700,250.0,100.0:7
b,d,800,275.0,100.0:8
b,d,900,300.0,100.0:9
b,d,1000,325.0,100.0:10
b,d,1100,350.0,100.0:11
b,d,1200,375.0,100.0:12
b,d,1300,400.0,100.0:13
b,d,1400,425.0,100.0:14
b,d,1500,450.0,100.0:15
b,d,1600,475.0,100.0:16
b,d,1700,500.0,100.0:17
b,d,1800,525.0,100.0:18
b,d,1900,550.0,100.0:19
b,d,2000,575.0,100.0:20
d,b,100,100.0,100.0:1
d,b,200,125.0,100.0:2
d,b,300,150.0,100.0:3
d,b,400,175.0,100.0:4
d,b,500,200.0,100.0:5
d,b,600,225.0,100.0:6
d,b,700,250.0,100.0:7
d,b,800,275.0,100.0:8
d,b,900,300.0,100.0:9
d,b,1000,325.0,100.0:10
d,b,1100,350.0,100.0:11
d,b,1200,375.0,100.0:12
d,b,1300,400.0,100.0:13
d,b,1400,425.0,100.0:14
d,b,1500,450.0,100.0:15
d,b,1600,475.0,100.0:16
d,b,1700,500.0,100.0:17
d,b,1800,525.0,100.0:18
d,b,1900,550.0,100.0:19
d,b,2000,575.0,100.0:20
b,e,100,200.0,100.0:1
b,e,200,250.0,100.0:2
b,e,300,300.0,100.0:3
b,e,400,350.0,100.0:4
b,e,500,400.0,100.0:5
b,e,600,450.0,100.0:6
b,e,700,500.0,100.0:7
b,e,800,550.0,100.0:8
b,e,900,600.0,100.0:9
b,e,1000,650.0,100.0:10
b,e,1100,700.0,100.0:11
b,e,1200,750.0,100.0:12
b,e,1300,800.0,100.0:13
b,e,1400,850.0,100.0:14
b,e,1500,900.0,100.0:15
b,e,1600,950.0,100.0:16
b,e,1700,1000.0,100.0:17
b,e,1800,1050.0,100.0:18
b,e,1900,1100.0,100.0:19
b,e,2000,1150.0,100.0:20
e,b,100,200.0,100.0:1
e,b,200,250.0,100.0:2
e,b,300,300.0,100.0:3
e,b,400,350.0,100.0:4
e,b,500,400.0,100.0:5
e,b,600,450.0,100.0:6
e,b,700,500.0,100.0:7
e,b,800,550.0,100.0:8
e,b,900,600.0,100.0:9
e,b,1000,650.0,100.0:10
e,b,1100,700.0,100.0:11
e,b,1200,750.0,100.0:12
e,b,1300,800.0,100.0:13
e,b,1400,850.0,100.0:14
e,b,1500,900.0,100.0:15
e,b,1600,950.0,100.0:16
e,b,1700,1000.0,100.0:17
e,b,1800,1050.0,100.0:18
e,b,1900,1100.0,100.0:19
e,b,2000,1150.0,100.0:20
c,d,100,100.0,100.0:1
c,d,200,125.0,100.0:2
c,d,300,150.0,100.0:3
c,d,400,175.0,100.0:4
c,d,500,200.0,100.0:5
c,d,600,225.0,100.0:6
c,d,700,250.0,100.0:7
c,d,800,275.0,100.0:8
c,d,900,300.0,100.0:9
c,d,1000,325.0,100.0:10
c,d,1100,350.0,100.0:11
c,d,1200,375.0,100.0:12
c,d,1300,400.0,100.0:13
c,d,1400,425.0,100.0:14
c,d,1500,450.0,100.0:15
c,d,1600,475.0,100.0:16
c,d,1700,500.0,100.0:17
c,d,1800,525.0,100.0:18
c,d,1900,550.0,100.0:19
c,d,2000,575.0,100.0:20
d,c,100,100.0,100.0:1
d,c,200,125.0,100.0:2
d,c,300,150.0,100.0:3
d,c,400,175.0,100.0:4
d,c,500,200.0,100.0:5
d,c,600,225.0,100.0:6
d,c,700,250.0,100.0:7
d,c,800,275.0,100.0:8
d,c,900,300.0,100.0:9
d,c,1000,325.0,100.0:10
d,c,1100,350.0,100.0:11
d,c,1200,375.0,100.0:12
d,c,1300,400.0,100.0:13
d,c,1400,425.0,100.0:14
d,c,1500,450.0,100.0:15
d,c,1600,475.0,100.0:16
d,c,1700,500.0,100.0:17
d,c,1800,525.0,100.0:18
d,c,1900,550.0,100.0:19
d,c,2000,575.0,100.0:20
c,e,100,300.0,100.0:1
c,e,200,375.0,100.0:2
c,e,300,450.0,100.0:3
c,e,400,525.0,100.0:4
c,e,500,600.0,100.0:5
c,e,600,675.0,100.0:6
c,e,700,750.0,100.0:7
c,e,800,825.0,100.0:8
c,e,900,900.0,100.0:9
c,e,1000,975.0,100.0:10
c,e,1100,1050.0,100.0:11
c,e,1200,1125.0,100.0:12
c,e,1300,1200.0,100.0:13
c,e,1400,1275.0,100.0:14
c,e,1500,1350.0,100.0:15
c,e,1600,1425.0,100.0:16
c,e,1700,1500.0,100.0:17
c,e,1800,1575.0,100.0:18
c,e,1900,1650.0,100.0:19
c,e,2000,1725.0,100.0:20
e,c,100,300.0,100.0:1
e,c,200,375.0,100.0:2
e,c,300,450.0,100.0:3
e,c,400,525.0,100.0:4
e,c,500,600.0,100.0:5
e,c,600,675.0,100.0:6
e,c,700,750.0,100.0:7
e,c,800,825.0,100.0:8
e,c,900,900.0,100.0:9
e,c,1000,975.0,100.0:10
e,c,1100,1050.0,100.0:11
e,c,1200,1125.0,100.0:12
e,c,1300,1200.0,100.0:13
e,c,1400,1275.0,100.0:14
e,c,1500,1350.0,100.0:15
e,c,1600,1425.0,100.0:16
e,c,1700,1500.0,100.0:17
e,c,1800,1575.0,100.0:18
e,c,1900,1650.0,100.0:19
e,c,2000,1725.0,100.0:20
d,e,100,100.0,100.0:1
d,e,200,125.0,100.0:2
d,e,300,150.0,100.0:3
d,e,400,175.0,100.0:4
d,e,500,200.0,100.0:5
d,e,600,225.0,100.0:6
d,e,700,250.0,100.0:7
d,e,800,275.0,100.0:8
d,e,900,300.0,100.0:9
d,e,1000,325.0,100.0:10
d,e,1100,350.0,100.0:11
d,e,1200,375.0,100.0:12
d,e,1300,400.0,100.0:13
d,e,1400,425.0,100.0:14
d,e,1500,450.0,100.0:15
d,e,1600,475.0,100.0:16
d,e,1700,500.0,100.0:17
d,e,1800,525.0,100.0:18
d,e,1900,550.0,100.0:19
d,e,2000,575.0,100.0:20
e,d,100,100.0,100.0:1
e,d,200,125.0,100.0:2
e,d,300,150.0,100.0:3
e,d,400,175.0,100.0:4
e,d,500,200.0,100.0:5
e,d,600,225.0,100.0:6
e,d,700,250.0,100.0:7
e,d,800,275.0,100.0:8
e,d,900,300.0,100.0:9
e,d,1000,325.0,100.0:10
e,d,1100,350.0,100.0:11
e,d,1200,375.0,100.0:12
e,d,1300,400.0,100.0:13
e,d,1400,425.0,100.0:14
e,d,1500,450.0,100.0:15
e,d,1600,475.0,100.0:16
e,d,1700,500.0,100.0:17
e,d,1800,525.0,100.0:18
e,d,1900,550.0,100.0:19
e,d,2000,575.0,100.0:20
